number,enumerate,iterate,yield
0,0.3561220000000276,0.4844680000000494,0.3893229999999903
3,0.015483000000017455,0.017759000000012293,0.017794999999978245
4,0.015238000000010743,0.029064000000005308,0.004407000000014705
5,0.027377000000001317,0.005357000000003609,0.0043100000000322325
6,0.015148000000010597,0.006053000000008524,0.004694000000029064
7,0.015043999999988955,0.005369000000030155,0.004454000000009728
8,0.015100000000018099,0.009118000000000848,0.007870000000025357
9,0.017455999999981486,0.007854999999949541,0.005465000000015152
10,0.016519000000016604,0.006686000000001968,0.006798000000003412
11,0.017871000000013737,0.0067210000000272885,0.00695899999999483
12,0.016659000000004198,0.0077599999999620195,0.007951999999988857
13,0.016451000000017757,0.007997999999986405,0.006709999999998217
14,0.018051000000014028,0.006680000000017117,0.006858999999963089
15,0.01664400000004207,0.007847000000026583,0.005620000000021719
16,0.016857000000015887,0.007836999999994987,0.006911999999999807
17,0.01812000000001035,0.006625999999982923,0.006926999999961936
18,0.016773000000000593,0.008045999999978903,0.005455999999981032
19,0.016897999999969215,0.010161000000039166,0.006641999999999371
20,0.018291999999973996,0.006798000000003412,0.006804999999985739
21,0.01663599999994858,0.006798000000003412,0.006961999999987256
22,0.0167489999999475,0.010102000000017597,0.005573999999967327
23,0.016565000000014152,0.006613000000015745,0.006779999999992015
24,0.0166929999999752,0.00669900000002599,0.00684400000000096
25,0.016861000000005788,0.00898300000000063,0.00794100000001663
26,0.017062000000009903,0.006637000000011994,0.006904000000020005
27,0.01815500000003567,0.006632000000024618,0.006882999999959338
28,0.016734000000042215,0.008796000000018012,0.005640000000028067
30,0.018126999999992677,0.00678299999998444,0.006742000000031112
31,0.016743000000019492,0.008783999999991465,0.005602000000010321
32,0.016683999999997923,0.010536999999999352,0.0055099999999583815
33,0.018190000000004147,0.006707000000005792,0.007050000000049295
34,0.01696500000002743,0.009143999999992047,0.005517999999995027
35,0.016851999999971667,0.008031000000016775,0.00631399999997484
2,0.04037199999999075,0.02840600000001814,0.01719700000001012
1,0.02402599999999211,0.02351299999997991,0.016478000000006432
29,0.01695399999999836,0.006785999999976866,0.0056570000000419896
36,0.01658300000002555,0.006762999999978092,0.006853999999975713
40,0.017996999999979835,0.007813999999996213,0.006797000000005937
41,0.01673500000003969,0.007809000000008837,0.005510999999955857
37,0.01782199999996692,0.007616999999981999,0.0070580000000290966
38,0.017170000000021446,0.007829000000015185,0.005548000000032971
39,0.020194000000003598,0.006772000000012213,0.005588999999986299
42,0.016483999999991283,0.007790999999997439,0.005617000000029293
43,0.0182259999999701,0.007639999999980773,0.006854999999973188
44,0.016629000000023098,0.00791399999997111,0.005466000000012627
45,0.016841999999996915,0.010465000000010605,0.00561699999997245
46,0.01816800000000285,0.0076299999999491774,0.006812999999965541
47,0.017079000000023825,0.007936000000029253,0.005561999999997624
48,0.0167149999999765,0.007789999999999964,0.005552000000022872
49,0.018812999999965996,0.006683000000009542,0.006768000000022312
50,0.01652200000000903,0.006841000000008535,0.00680699999998069
51,0.016840000000001965,0.007762000000013813,0.005641000000025542
55,0.017929999999978463,0.0067020000000184154,0.006799999999998363
52,0.01751200000001063,0.006743000000028587,0.006708000000003267
53,0.017935999999963315,0.007159999999998945,0.007346999999981563
54,0.016954999999995835,0.00785799999999881,0.00559800000002042
56,0.018034000000000106,0.006772000000012213,0.006783000000041284
57,0.01652999999998883,0.0078040000000214604,0.005447000000003754
58,0.017575999999962733,0.006664000000000669,0.005494999999996253
59,0.017802000000017415,0.00667300000003479,0.006756999999993241
63,0.015893000000005486,0.005820000000028358,0.004776999999990039
60,0.01656699999995226,0.007842999999979838,0.005597000000022945
61,0.01636100000001761,0.007930999999985033,0.005515000000002601
62,0.017631999999991876,0.5328969999999913,0.005912999999964086
64,0.015039999999999054,0.005152000000009593,0.0041530000000307155
65,0.015151000000003023,0.005124999999964075,0.004264999999975316
66,0.014851000000021486,0.00527399999998579,0.004165000000000418
67,0.014807000000018888,0.005154000000004544,0.004213999999990392
68,0.014659999999992124,0.014522999999996955,0.004211999999995442
69,0.014977999999985059,0.0052029999999945176,0.004457000000002154
70,0.014827999999965868,0.005152000000009593,0.004263000000037209
74,0.015125000000011823,0.005622000000016669,0.004147999999986496
75,0.014826000000027761,0.005142000000034841,0.004171999999982745
76,0.014739999999960673,0.005197000000009666,0.004134999999962474
71,0.01484800000002906,0.005116999999984273,0.0041279999999801475
72,0.014997999999991407,0.005162999999981821,0.004322999999999411
73,0.015001999999981308,0.005406999999991058,0.004146999999989021
77,0.015390999999965516,0.005017000000009375,0.004081000000041968
78,0.018510999999989508,0.005302000000028784,0.004228000000011889
79,1.014029999999991,0.006348000000002685,0.0049349999999890315
80,0.14360799999997198,0.005834999999990487,0.0049080000000003565
81,0.015172000000006847,0.0055080000000202745,0.0044079999999553365
82,0.015275999999971646,0.005284000000017386,0.00418000000001939
85,0.01286499999997659,0.005308000000013635,0.004230000000006839
86,0.012509000000022752,0.005147999999962849,0.004217000000039661
88,0.012391999999977088,0.005219000000010965,0.004228000000011889
89,0.012180999999998221,0.005064000000004398,0.004302999999993062
90,0.012361999999995987,0.005155000000002019,0.004090999999959877
91,0.012220000000013442,0.005171000000018466,0.0041509999999789216
92,0.012383999999997286,0.01950499999998101,0.004442999999980657
83,0.015062000000000353,0.005314999999995962,0.004205000000013115
84,0.013881999999966865,0.005693000000007942,0.004535999999973228
87,0.012324000000035085,0.005137000000047465,0.004095999999947253
93,0.008161000000029617,0.00547599999998738,0.0042739999999525935
97,0.007509000000027299,0.005346999999972013,0.004174999999975171
94,0.0077749999999809916,0.00536800000003268,0.004221000000029562
95,0.007606000000009772,0.00522000000000844,0.004191999999989093
96,0.0075470000000450455,0.005278999999973166,0.004339000000015858
98,0.007547999999985677,0.005146999999965374,0.004263000000037209
99,0.007534999999961656,0.005259999999964293,0.0041589999999587235
number,enumerate,iterate,yield
0,0.35861099999999624,0.4882570000000328,0.3607359999999744
2,0.015399999999999636,0.016279999999994743,0.005403000000001157
4,0.014859000000001288,0.0052550000000337604,0.0043579999999678876
5,0.03513100000003533,0.005154000000004544,0.0042659999999727916
6,0.01501500000000533,0.005929999999978008,0.004483999999990829
7,0.014734000000032665,0.005213000000026113,0.006775000000004638
8,0.017915000000016335,0.007239000000026863,0.006804999999985739
9,0.016499000000010255,0.01017500000000382,0.005659999999977572
10,0.016302999999993517,0.006457000000011703,0.007714000000021315
11,0.01672200000001567,0.007668000000023767,0.005617999999969925
12,0.018425000000036107,0.006573000000003049,0.006672000000037315
13,0.01700400000004265,0.007831000000010135,0.005620000000021719
14,0.017848000000014963,0.006603999999981625,0.005493999999998778
15,0.016738999999972748,0.006678000000022166,0.005483999999967182
16,0.01905800000002955,0.00811700000002702,0.0057610000000067885
17,0.01678599999996777,0.006639000000006945,0.006687999999996919
18,0.016649000000029446,0.007974999999987631,0.005476999999984855
19,0.01672800000000052,0.006558999999981552,0.006757999999990716
20,0.017674999999997,0.007803000000023985,0.005471000000000004
21,0.018091000000026725,0.006513999999981479,0.0067440000000260625
22,0.016836999999952695,0.007700999999997293,0.00562400000001162
23,0.02117100000003802,0.006620999999995547,0.00698499999998603
24,0.016639999999995325,0.007678999999995995,0.0055519999999660286
25,0.01645000000002028,0.006762999999978092,0.005440000000021428
26,0.016691000000037093,0.007603000000017346,0.006866000000002259
27,0.016939999999976862,0.009219999999970696,0.005489000000011401
28,0.01657399999999143,0.00648999999998523,0.006608999999969001
29,0.016821999999990567,0.008735000000001492,0.008080000000006748
30,0.016545000000007803,0.006501000000014301,0.0067630000000349355
1,0.024232999999981075,0.023718999999971402,0.01706500000000233
3,0.015610999999978503,0.005709000000024389,0.01470199999999977
31,0.01654999999999518,0.007689999999968222,0.00544999999999618
32,0.017636999999979253,0.007459999999980482,0.006709999999998217
33,0.016623999999978878,0.007779999999968368,0.005510000000015225
34,0.016485999999986234,0.006749000000013439,0.005381999999997333
35,0.016384000000016385,0.006530999999995402,0.005752000000029511
36,0.01641800000004423,0.00788199999999506,0.00977100000000064
37,0.016602999999975054,0.007776999999975942,0.005651000000000295
40,0.016667999999981475,0.009058000000038646,0.005645000000015443
42,0.01657999999997628,0.00779499999998734,0.00557000000003427
43,0.016331999999977143,0.006403999999974985,0.009369999999989886
44,0.01649400000002288,0.008031000000016775,0.005538000000001375
45,0.018946000000028107,0.006536999999980253,0.0065410000000269974
46,0.016602000000034423,0.007849999999962165,0.005709999999965021
47,0.017989999999997508,0.006417999999996482,0.005538000000001375
48,0.01753999999999678,0.0065789999999879,0.005629999999996471
49,0.01650000000000773,0.007834000000002561,0.005492000000003827
50,0.01683500000001459,0.006655000000023392,0.009254999999996016
51,0.01661699999999655,0.008722999999974945,0.005468000000007578
52,0.016699000000016895,0.006677000000024691,0.006658000000015818
53,0.01667299999996885,0.008973999999966509,0.005568999999979951
54,0.017315999999993892,0.006556999999986601,0.006752000000005864
55,0.016410000000007585,0.007611999999994623,0.005545999999981177
56,0.017793000000040138,0.006527000000005501,0.006711999999993168
57,0.01632399999999734,0.011653999999964526,0.005645000000015443
58,0.01670700000005354,0.0065389999999752035,0.005472999999994954
59,0.01682099999999309,0.006738000000041211,0.005525999999974829
60,0.016463999999984935,0.00881600000002436,0.005426999999997406
61,0.016693999999972675,0.006543000000021948,0.0070180000000164
62,0.01655700000003435,0.007799999999974716,0.00567799999998897
63,0.016682000000002972,0.006573000000003049,0.007758999999964544
64,0.016388000000006286,0.010110999999994874,0.5601429999999823
65,0.015818999999964944,0.006157000000030166,0.004474000000016076
66,0.015098000000023148,0.007948999999996431,0.004059000000040669
67,0.015234000000020842,0.005674999999996544,0.003988999999990028
68,0.014676999999949203,0.00498299999998153,0.003962999999998829
69,0.014965999999958512,0.005192999999962922,0.00405799999998635
70,0.014739000000020042,0.005062000000009448,0.004132999999967524
71,0.01469800000000987,0.005013000000019474,0.003946999999982381
72,0.0146129999999971,0.005032000000028347,0.00402299999996103
73,0.014699000000007345,0.005189999999970496,0.004027000000007774
38,0.016561999999964883,0.00664700000004359,0.005434999999977208
39,0.02041500000001406,0.006670999999982996,0.0070430000000101245
76,0.014834000000007563,0.005085000000008222,0.0040169999999761785
77,0.014904999999998836,0.00498800000002575,0.004026999999950931
78,0.01881300000002284,0.005178000000000793,0.004067999999961103
79,1.0495750000000044,0.006559000000038395,0.005111999999996897
80,0.14575000000002092,0.005838000000039756,0.004649000000028991
41,0.016511000000036802,0.00681600000001481,0.007930999999985033
74,0.014818999999988591,0.0049889999999663814,0.003957000000013977
75,0.014791000000002441,0.005031999999971504,0.004061999999976251
81,0.01485000000002401,0.005369000000030155,0.0041720000000395885
83,0.01492799999999761,0.0050459999999930005,0.00411900000000287
82,0.014724999999998545,0.005116999999984273,0.004120000000000346
84,0.014959999999973661,0.005417000000022654,0.004228000000011889
85,0.015339999999980591,0.005104999999957727,0.004094000000009146
86,0.014607000000012249,0.00527399999998579,0.004047000000014123
87,0.014913000000035481,0.005020999999999276,0.0042410000000359105
88,0.014801000000034037,0.004941000000030726,0.004005000000006476
89,0.014914999999973588,0.0049769999999966785,0.003960000000006403
91,0.1498409999999808,0.005874000000005708,0.00446399999998448
90,0.062126000000034765,0.005602999999950953,0.004438999999990756
92,0.012578000000019074,0.005101000000024669,0.004224000000021988
93,0.01223099999998567,0.005150000000014643,0.004114000000015494
95,0.01237599999996064,0.004970000000014352,0.004100999999991473
94,0.012096999999982927,0.005004999999982829,0.004065999999966152
96,0.01212500000002592,0.0050229999999942265,0.004083000000036918
97,0.023204000000021097,0.0054639999999608335,0.004193999999984044
98,0.007578000000023621,0.00512599999996155,0.004076999999995223
99,0.007568999999989501,0.005094999999982974,0.004149999999981446
